date,timestamp,display_location,location_name,station_name,monitoring_point_id,station_code,city,district,province,country,latitude,longitude,pH,DO,BOD,COD,SS,TN,TP,temperature,EC,Turbidity,Chlorophyll_a,Fecal_Coliform,E_coli,Alkalinity,Hardness,Ammonia_N,Nitrate_N,Phosphate_P,the_geom,OBJECTID,MGTNO,IVSTG_GB,IVSTG_SPOT,IVSTG_DT,RGD_DT,MODI_DT,OPERT_MTH,USE_YN,region,source,x,y
2026-06-26,2026-06-26 10:46:32,"Eisen 3, Gyeongsangbuk-do, South Korea","Eisen 3, Gyeongsangbuk-do, South Korea",Eisen 3,W-4,DG2006E012,Eisen,,Gyeongsangbuk-do,South Korea,36.948230157859314,128.61498057065577,6.8,7.2,1.4,2.3,7.0,1.6,0.1,13.0,190.0,1.8,3.2,10.0,4.0,48.0,58.0,0.25,0.9,0.08,,3600,DG2006E012,IV05,W-4,,,,GE04,Y,"Eisen 3, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1099275.5587,1883895.0499
2026-06-26,2026-06-26 10:46:34,"Heung-hai 4, Gyeongsangbuk-do, South Korea","Heung-hai 4, Gyeongsangbuk-do, South Korea",Heung-hai 4,W-1,DG2007B001,Heung-hai,,Gyeongsangbuk-do,South Korea,36.127222219995495,129.3913889004747,6.9,7.4,2.0,3.9,13.0,1.9,0.14,15.8,204.0,2.1,4.0,10.0,12.0,56.4,62.8,0.41,1.26,0.12,,4972,DG2007B001,IV05,W-1,,,,GE01,Y,"Heung-hai 4, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1170201.6732,1793901.0214
2026-06-26,2026-06-26 10:46:33,"Heung-hai 5, Gyeongsangbuk-do, South Korea","Heung-hai 5, Gyeongsangbuk-do, South Korea",Heung-hai 5,W-2,DG2007B001,Heung-hai,,Gyeongsangbuk-do,South Korea,36.1008333299656,129.40305560046446,7.25,8.2,2.6,2.7,10.0,2.05,0.14,13.7,198.0,3.3,4.8,34.0,6.0,52.2,59.2,0.49,1.62,0.12,,4369,DG2007B001,IV05,W-2,,,,GE01,Y,"Heung-hai 5, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1171308.9814,1790994.0607
2026-06-26,2026-06-26 10:46:32,"Heung-hai 6, Gyeongsangbuk-do, South Korea","Heung-hai 6, Gyeongsangbuk-do, South Korea",Heung-hai 6,W-3,DG2007B001,Heung-hai,,Gyeongsangbuk-do,South Korea,36.11777778032211,129.40694440011254,6.95,7.8,2.3,3.5,10.0,2.05,0.1,15.1,196.0,2.7,4.4,19.0,10.0,52.2,61.6,0.49,1.44,0.08,,3873,DG2007B001,IV05,W-3,,,,GE01,Y,"Heung-hai 6, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1171622.1991,1792880.6641
2026-06-26,2026-06-26 10:46:32,"Heung-hai 7, Gyeongsangbuk-do, South Korea","Heung-hai 7, Gyeongsangbuk-do, South Korea",Heung-hai 7,W-4,DG2007B001,Heung-hai,,Gyeongsangbuk-do,South Korea,36.108055560380144,129.42944440029027,6.9,7.6,2.0,3.1,9.0,1.9,0.18,14.4,194.0,2.4,4.0,16.0,8.0,50.8,60.4,0.41,1.26,0.16,,3512,DG2007B001,IV05,W-4,,,,GE01,Y,"Heung-hai 7, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1173668.8148,1791842.0995
2026-06-26,2026-06-26 10:46:31,"Heung-hai 8, Gyeongsangbuk-do, South Korea","Heung-hai 8, Gyeongsangbuk-do, South Korea",Heung-hai 8,W-5,DG2007B001,Heung-hai,,Gyeongsangbuk-do,South Korea,36.09499999957608,129.43166670031655,7.0,7.2,2.6,3.1,13.0,1.9,0.18,16.5,218.0,1.8,4.8,19.0,14.0,56.4,64.0,0.41,1.62,0.16,,3254,DG2007B001,IV05,W-5,,,,GE01,Y,"Heung-hai 8, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1173897.6487,1790397.7425
2026-06-26,2026-06-26 10:46:27,"Hwawon 1, Daegu, South Korea","Hwawon 1, Daegu, South Korea",Hwawon 1,GW-1,DG2007B002,Hwawon,,Daegu,South Korea,35.69248092042453,128.46199258221924,6.8,8.4,1.4,3.1,11.0,1.6,0.18,14.4,200.0,3.6,3.2,37.0,8.0,53.6,60.4,0.25,0.9,0.16,,560,DG2007B002,IV07,GW-1,,,,GE04,Y,"Hwawon 1, Daegu, South Korea",Korean Water Quality API,1087038.7791,1744452.2796
2026-06-26,2026-06-26 10:46:27,"Hwawon 2, Daegu, South Korea","Hwawon 2, Daegu, South Korea",Hwawon 2,GW-2,DG2007B002,Hwawon,,Daegu,South Korea,35.70366537713666,128.44756317554584,7.0,7.2,2.6,3.1,13.0,1.9,0.18,16.5,218.0,1.8,4.8,19.0,14.0,56.4,64.0,0.41,1.62,0.16,,554,DG2007B002,IV07,GW-2,,,,GE04,Y,"Hwawon 2, Daegu, South Korea",Korean Water Quality API,1085721.2301,1745680.097
2026-06-26,2026-06-26 10:46:27,"Hwawon 3, Daegu, South Korea","Hwawon 3, Daegu, South Korea",Hwawon 3,GW-3,DG2007B002,Hwawon,,Daegu,South Korea,35.675487944935284,128.45032933452774,7.15,7.8,2.0,4.3,8.0,1.75,0.18,18.6,194.0,2.7,4.0,28.0,20.0,49.4,67.6,0.33,1.26,0.16,,557,DG2007B002,IV07,GW-3,,,,GE04,Y,"Hwawon 3, Daegu, South Korea",Korean Water Quality API,1086001.7219,1742557.2502
2026-06-26,2026-06-26 10:46:27,"Hwawon 4, Daegu, South Korea","Hwawon 4, Daegu, South Korea",Hwawon 4,GW-4,DG2007B002,Hwawon,,Daegu,South Korea,35.68432535152285,128.46915834264428,7.2,8.0,2.3,2.3,9.0,1.9,0.1,13.0,196.0,3.0,4.4,31.0,4.0,50.8,58.0,0.41,1.44,0.08,,558,DG2007B002,IV07,GW-4,,,,GE04,Y,"Hwawon 4, Daegu, South Korea",Korean Water Quality API,1087696.0667,1743554.0886
2026-06-26,2026-06-26 10:46:30,"Hwawon 5, Daegu, South Korea","Hwawon 5, Daegu, South Korea",Hwawon 5,GW0-1,DG2007B002,Hwawon,,Daegu,South Korea,35.68872800108099,128.46327699963857,7.1,7.6,1.7,3.9,7.0,1.6,0.14,17.9,192.0,2.4,3.6,25.0,18.0,48.0,66.4,0.25,1.08,0.12,,2596,DG2007B002,IV10,GW0-1,,,,GE02,Y,"Hwawon 5, Daegu, South Korea",Korean Water Quality API,1087159.0768,1744037.1678
2026-06-26,2026-06-26 10:46:30,"Hwawon 6, Daegu, South Korea","Hwawon 6, Daegu, South Korea",Hwawon 6,GW0-2,DG2007B002,Hwawon,,Daegu,South Korea,35.7026810009407,128.4536879994881,7.15,7.8,2.0,4.3,8.0,1.75,0.18,18.6,194.0,2.7,4.0,28.0,20.0,49.4,67.6,0.33,1.26,0.16,,2597,DG2007B002,IV10,GW0-2,,,,GE02,Y,"Hwawon 6, Daegu, South Korea",Korean Water Quality API,1086276.3889,1745576.2815
2026-06-26,2026-06-26 10:46:30,"Changnyeong 1, Gyeongsangnam-do, South Korea","Changnyeong 1, Gyeongsangnam-do, South Korea",Changnyeong 1,GW0-3,DG2007B002,Changnyeong,,Gyeongsangnam-do,South Korea,35.670408001252376,128.45246699995138,7.2,8.0,2.3,2.3,9.0,1.9,0.1,13.0,196.0,3.0,4.4,31.0,4.0,50.8,58.0,0.41,1.44,0.08,,2598,DG2007B002,IV10,GW0-3,,,,GE02,Y,"Changnyeong 1, Gyeongsangnam-do, South Korea",Korean Water Quality API,1086200.642,1741995.6894
2026-06-26,2026-06-26 10:46:30,"Hwawon 7, Daegu, South Korea","Hwawon 7, Daegu, South Korea",Hwawon 7,GW0-4,DG2007B002,Hwawon,,Daegu,South Korea,35.681879000950076,128.46750099968304,7.25,8.2,2.6,2.7,10.0,2.05,0.14,13.7,198.0,3.3,4.8,34.0,6.0,52.2,59.2,0.49,1.62,0.12,,2599,DG2007B002,IV10,GW0-4,,,,GE02,Y,"Hwawon 7, Daegu, South Korea",Korean Water Quality API,1087548.7672,1743281.2758
2026-06-26,2026-06-26 10:46:27,"Hwawon 8, Daegu, South Korea","Hwawon 8, Daegu, South Korea",Hwawon 8,W-10,DG2007B002,Hwawon,,Daegu,South Korea,35.693818179193194,128.47308073619385,6.95,8.4,2.3,2.7,12.0,1.75,0.14,15.8,216.0,3.6,4.4,16.0,12.0,55.0,62.8,0.33,1.44,0.12,,553,DG2007B002,IV05,W-10,,,,GE04,Y,"Hwawon 8, Daegu, South Korea",Korean Water Quality API,1088040.5697,1744610.4858
2026-06-26,2026-06-26 10:46:27,"Hwawon 9, Daegu, South Korea","Hwawon 9, Daegu, South Korea",Hwawon 9,W-11,DG2007B002,Hwawon,,Daegu,South Korea,35.69174017648368,128.4619900349135,7.25,8.2,2.6,2.7,10.0,2.05,0.14,13.7,198.0,3.3,4.8,34.0,6.0,52.2,59.2,0.49,1.62,0.12,,559,DG2007B002,IV05,W-11,,,,GE04,Y,"Hwawon 9, Daegu, South Korea",Korean Water Quality API,1087039.3535,1744370.1185
2026-06-26,2026-06-26 10:46:27,"Hwawon 10, Daegu, South Korea","Hwawon 10, Daegu, South Korea",Hwawon 10,W-1,DG2007B002,Hwawon,,Daegu,South Korea,35.69991872251563,128.48033535253768,7.1,7.6,1.7,3.9,7.0,1.6,0.14,17.9,192.0,2.4,3.6,25.0,18.0,48.0,66.4,0.25,1.08,0.12,,556,DG2007B002,IV05,W-1,,,,GE04,Y,"Hwawon 10, Daegu, South Korea",Korean Water Quality API,1088690.2038,1745293.652
2026-06-26,2026-06-26 10:46:27,"Hwawon 11, Daegu, South Korea","Hwawon 11, Daegu, South Korea",Hwawon 11,W-2,DG2007B002,Hwawon,,Daegu,South Korea,35.70243202832014,128.45967453578112,6.85,8.0,1.7,4.3,10.0,2.05,0.18,14.4,212.0,3.0,3.6,10.0,8.0,52.2,60.4,0.49,1.08,0.16,,551,DG2007B002,IV05,W-2,,,,GE04,Y,"Hwawon 11, Daegu, South Korea",Korean Water Quality API,1086818.2534,1745553.9448
2026-06-26,2026-06-26 10:46:27,"Hwawon 12, Daegu, South Korea","Hwawon 12, Daegu, South Korea",Hwawon 12,W-3,DG2007B002,Hwawon,,Daegu,South Korea,35.699461564793076,128.44447167491717,7.2,7.4,2.3,3.1,7.0,1.6,0.18,18.6,206.0,2.1,4.4,34.0,20.0,48.0,67.6,0.25,1.44,0.16,,548,DG2007B002,IV05,W-3,,,,GE04,Y,"Hwawon 12, Daegu, South Korea",Korean Water Quality API,1085446.0352,1745211.1404
2026-06-26,2026-06-26 10:46:27,"Hwawon 13, Daegu, South Korea","Hwawon 13, Daegu, South Korea",Hwawon 13,W-4,DG2007B002,Hwawon,,Daegu,South Korea,35.69878103511752,128.43158771073203,7.05,7.4,1.4,3.5,14.0,2.05,0.1,17.2,190.0,2.1,3.2,22.0,16.0,57.8,65.2,0.49,0.9,0.08,,555,DG2007B002,IV05,W-4,,,,GE04,Y,"Hwawon 13, Daegu, South Korea",Korean Water Quality API,1084281.1102,1745124.5234
2026-06-26,2026-06-26 10:46:27,"Hwawon 14, Daegu, South Korea","Hwawon 14, Daegu, South Korea",Hwawon 14,W-5,DG2007B002,Hwawon,,Daegu,South Korea,35.696423704033066,128.41244241201818,7.1,8.4,1.7,2.3,13.0,1.9,0.1,17.2,202.0,3.6,3.6,28.0,16.0,56.4,65.2,0.41,1.08,0.08,,546,DG2007B002,IV05,W-5,,,,GE04,Y,"Hwawon 14, Daegu, South Korea",Korean Water Quality API,1082551.4096,1744846.797
2026-06-26,2026-06-26 10:46:27,"Hwawon 15, Daegu, South Korea","Hwawon 15, Daegu, South Korea",Hwawon 15,W-6,DG2007B002,Hwawon,,Daegu,South Korea,35.68442968573372,128.43783042108043,7.15,7.2,2.0,2.7,14.0,2.05,0.14,17.9,204.0,1.8,4.0,31.0,18.0,57.8,66.4,0.49,1.26,0.12,,547,DG2007B002,IV05,W-6,,,,GE04,Y,"Hwawon 15, Daegu, South Korea",Korean Water Quality API,1084861.1089,1743538.1392
2026-06-26,2026-06-26 10:46:27,"Hwawon 16, Daegu, South Korea","Hwawon 16, Daegu, South Korea",Hwawon 16,W-7,DG2007B002,Hwawon,,Daegu,South Korea,35.67612159683667,128.44303265185604,6.8,7.8,1.4,3.9,9.0,1.9,0.14,13.7,210.0,2.7,3.2,40.0,6.0,50.8,59.2,0.41,0.9,0.12,,550,DG2007B002,IV05,W-7,,,,GE04,Y,"Hwawon 16, Daegu, South Korea",Korean Water Quality API,1085340.7018,1742621.1671
2026-06-26,2026-06-26 10:46:27,"Hwawon 17, Daegu, South Korea","Hwawon 17, Daegu, South Korea",Hwawon 17,W-8,DG2007B002,Hwawon,,Daegu,South Korea,35.67277602207788,128.464890028744,7.25,7.6,2.6,3.5,8.0,1.75,0.1,13.0,208.0,2.4,4.8,37.0,4.0,49.4,58.0,0.33,1.62,0.08,,549,DG2007B002,IV05,W-8,,,,GE04,Y,"Hwawon 17, Daegu, South Korea",Korean Water Quality API,1087322.4117,1742269.3063
2026-06-26,2026-06-26 10:46:27,"Hwawon 18, Daegu, South Korea","Hwawon 18, Daegu, South Korea",Hwawon 18,W-9,DG2007B002,Hwawon,,Daegu,South Korea,35.69307923969127,128.45762268584068,6.9,8.2,2.0,2.3,11.0,1.6,0.1,15.1,214.0,3.3,4.0,13.0,10.0,53.6,61.6,0.25,1.26,0.08,,552,DG2007B002,IV05,W-9,,,,GE04,Y,"Hwawon 18, Daegu, South Korea",Korean Water Quality API,1086642.7423,1744514.7768
2026-06-26,2026-06-26 10:46:30,"Hwawon 1, Daegu, South Korea","Hwawon 1, Daegu, South Korea",Hwawon 1,W0-1,DG2007B002,Hwawon,,Daegu,South Korea,35.696514039692055,128.48143106358606,7.25,7.6,2.6,3.5,8.0,1.75,0.1,13.0,208.0,2.4,4.8,37.0,4.0,49.4,58.0,0.33,1.62,0.08,,2439,DG2007B002,IV05,W0-1,,,,GE04,Y,"Hwawon 1, Daegu, South Korea",Korean Water Quality API,1088793.1099,1744917.0145
2026-06-26,2026-06-26 10:46:30,"Hwawon 1, Daegu, South Korea","Hwawon 1, Daegu, South Korea",Hwawon 1,W0-2,DG2007B002,Hwawon,,Daegu,South Korea,35.70054300064061,128.4612230005009,7.05,7.4,1.4,3.5,14.0,2.05,0.1,17.2,190.0,2.1,3.2,22.0,16.0,57.8,65.2,0.49,0.9,0.08,,2595,DG2007B002,IV05,W0-2,,,,GE02,Y,"Hwawon 1, Daegu, South Korea",Korean Water Quality API,1086960.393,1745345.7955
2026-06-26,2026-06-26 10:46:30,"Hwawon 1, Daegu, South Korea","Hwawon 1, Daegu, South Korea",Hwawon 1,W0-3,DG2007B002,Hwawon,,Daegu,South Korea,35.69616162697278,128.4448504344727,6.8,7.8,1.4,3.9,9.0,1.9,0.14,13.7,210.0,2.7,3.2,40.0,6.0,50.8,59.2,0.41,0.9,0.12,,2440,DG2007B002,IV05,W0-3,,,,GE04,Y,"Hwawon 1, Daegu, South Korea",Korean Water Quality API,1085483.8247,1744845.4612
2026-06-26,2026-06-26 10:46:30,"Hwawon 1, Daegu, South Korea","Hwawon 1, Daegu, South Korea",Hwawon 1,W0-4,DG2007B002,Hwawon,,Daegu,South Korea,35.696600863803674,128.43187489293769,6.85,8.0,1.7,4.3,10.0,2.05,0.18,14.4,212.0,3.0,3.6,10.0,8.0,52.2,60.4,0.49,1.08,0.16,,2441,DG2007B002,IV05,W0-4,,,,GE04,Y,"Hwawon 1, Daegu, South Korea",Korean Water Quality API,1084309.3875,1744882.959
2026-06-26,2026-06-26 10:46:30,"Hwawon 1, Daegu, South Korea","Hwawon 1, Daegu, South Korea",Hwawon 1,W0-5,DG2007B002,Hwawon,,Daegu,South Korea,35.69395467722773,128.41348257251312,6.9,8.2,2.0,2.3,11.0,1.6,0.1,15.1,214.0,3.3,4.0,13.0,10.0,53.6,61.6,0.25,1.26,0.08,,2442,DG2007B002,IV05,W0-5,,,,GE04,Y,"Hwawon 1, Daegu, South Korea",Korean Water Quality API,1082648.0663,1744573.8236
2026-06-26,2026-06-26 10:46:30,"Hwawon 1, Daegu, South Korea","Hwawon 1, Daegu, South Korea",Hwawon 1,W0-6,DG2007B002,Hwawon,,Daegu,South Korea,35.68225565752413,128.43949886784358,6.95,8.4,2.3,2.7,12.0,1.75,0.14,15.8,216.0,3.6,4.4,16.0,12.0,55.0,62.8,0.33,1.44,0.12,,2443,DG2007B002,IV05,W0-6,,,,GE04,Y,"Hwawon 1, Daegu, South Korea",Korean Water Quality API,1085014.3919,1743298.4529
2026-06-26,2026-06-26 10:46:30,"Hwawon 1, Daegu, South Korea","Hwawon 1, Daegu, South Korea",Hwawon 1,W0-7,DG2007B002,Hwawon,,Daegu,South Korea,35.67424038202877,128.44454905549324,7.0,7.2,2.6,3.1,13.0,1.9,0.18,16.5,218.0,1.8,4.8,19.0,14.0,56.4,64.0,0.41,1.62,0.16,,2444,DG2007B002,IV05,W0-7,,,,GE04,Y,"Hwawon 1, Daegu, South Korea",Korean Water Quality API,1085479.9405,1742413.8335
2026-06-26,2026-06-26 10:46:30,"Changnyeong 1, Gyeongsangnam-do, South Korea","Changnyeong 1, Gyeongsangnam-do, South Korea",Changnyeong 1,W0-8,DG2007B002,Changnyeong,,Gyeongsangnam-do,South Korea,35.66975395509896,128.4656686690254,7.05,7.4,1.4,3.5,14.0,2.05,0.1,17.2,190.0,2.1,3.2,22.0,16.0,57.8,65.2,0.49,0.9,0.08,,2445,DG2007B002,IV05,W0-8,,,,GE04,Y,"Changnyeong 1, Gyeongsangnam-do, South Korea",Korean Water Quality API,1087396.1753,1741934.8103
2026-06-26,2026-06-26 10:46:30,"Hwawon 1, Daegu, South Korea","Hwawon 1, Daegu, South Korea",Hwawon 1,W0-9,DG2007B002,Hwawon,,Daegu,South Korea,35.69132966350175,128.45993426677197,7.1,7.6,1.7,3.9,7.0,1.6,0.14,17.9,192.0,2.4,3.6,25.0,18.0,48.0,66.4,0.25,1.08,0.12,,2446,DG2007B002,IV05,W0-9,,,,GE04,Y,"Hwawon 1, Daegu, South Korea",Korean Water Quality API,1086853.7903,1744322.7666
2026-06-26,2026-06-26 10:46:33,"Eisen 4, Gyeongsangbuk-do, South Korea","Eisen 4, Gyeongsangbuk-do, South Korea",Eisen 4,W-2,DG2007E001,Eisen,,Gyeongsangbuk-do,South Korea,36.8379236769327,128.6013798172353,7.2,7.2,2.3,3.9,11.0,1.6,0.14,13.7,216.0,1.8,4.4,28.0,6.0,53.6,59.2,0.25,1.44,0.12,,4468,DG2007E001,IV05,W-2,,,,GE04,Y,"Eisen 4, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1098205.7652,1871643.8957
2026-06-26,2026-06-26 10:46:32,"Eisen 5, Gyeongsangbuk-do, South Korea","Eisen 5, Gyeongsangbuk-do, South Korea",Eisen 5,W-3,DG2007E001,Eisen,,Gyeongsangbuk-do,South Korea,36.83849319651086,128.6085066478784,6.85,8.0,1.7,4.3,10.0,2.05,0.18,14.4,212.0,3.0,3.6,10.0,8.0,52.2,60.4,0.49,1.08,0.16,,4001,DG2007E001,IV05,W-3,,,,GE04,Y,"Eisen 5, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1098840.5265,1871714.4247
2026-06-26,2026-06-26 10:46:32,"Eisen 6, Gyeongsangbuk-do, South Korea","Eisen 6, Gyeongsangbuk-do, South Korea",Eisen 6,W-4,DG2007E001,Eisen,,Gyeongsangbuk-do,South Korea,36.84127184272277,128.61164480295028,7.0,7.2,2.6,3.1,13.0,1.9,0.18,16.5,218.0,1.8,4.8,19.0,14.0,56.4,64.0,0.41,1.62,0.16,,3614,DG2007E001,IV05,W-4,,,,GE04,Y,"Eisen 6, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1099116.7652,1872025.928
2026-06-26,2026-06-26 10:46:31,"Eisen 7, Gyeongsangbuk-do, South Korea","Eisen 7, Gyeongsangbuk-do, South Korea",Eisen 7,W-5,DG2007E001,Eisen,,Gyeongsangbuk-do,South Korea,36.83617718437644,128.61255973681912,7.15,8.4,2.0,3.5,10.0,2.05,0.1,13.0,214.0,3.6,4.0,25.0,4.0,52.2,58.0,0.49,1.26,0.08,,3327,DG2007E001,IV05,W-5,,,,GE04,Y,"Eisen 7, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1099204.9265,1871461.6957
2026-06-26,2026-06-26 10:46:31,"Eisen 8, Gyeongsangbuk-do, South Korea","Eisen 8, Gyeongsangbuk-do, South Korea",Eisen 8,W-6,DG2007E001,Eisen,,Gyeongsangbuk-do,South Korea,36.84336216263332,128.6535986285759,7.1,7.6,1.7,3.9,7.0,1.6,0.14,17.9,192.0,2.4,3.6,25.0,18.0,48.0,66.4,0.25,1.08,0.12,,3106,DG2007E001,IV05,W-6,,,,GE04,Y,"Eisen 8, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1102854.804,1872302.1667
2026-06-26,2026-06-26 10:46:32,"Cheongsong gun 1, Gyeongsangbuk-do, South Korea","Cheongsong gun 1, Gyeongsangbuk-do, South Korea",Cheongsong gun 1,W-4,DG2007E002,Cheongsong gun,,Gyeongsangbuk-do,South Korea,36.47953999985786,129.06629999960896,7.05,7.4,1.4,3.5,14.0,2.05,0.1,17.2,190.0,2.1,3.2,22.0,16.0,57.8,65.2,0.49,0.9,0.08,,3555,DG2007E002,IV05,W-4,,,,GE02,Y,"Cheongsong gun 1, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1140312.4742,1832463.9683
